theme,model,strategy,fold,title,year,label,score,latency_s,from_cache,error
slr,llama3.2:3b,zero-shot,1,Survey of component-based software development,2007,0,6,12.533,False,
slr,llama3.2:3b,zero-shot,1,Achieving Quality in Open Source Software,2007,0,6,3.281,False,
slr,llama3.2:3b,zero-shot,1,Stakeholders in Global Requirements Engineering: Lessons Learned from Practice,2007,0,4,5.112,False,
slr,llama3.2:3b,zero-shot,1,A systematic review of theory use in software engineering experiments,2007,1,6,4.694,False,
slr,llama3.2:3b,zero-shot,1,"Estimation of software development work effort: evidence on expert
judgement and formal models",2007,1,6,4.101,False,
slr,llama3.2:3b,zero-shot,1,A systematic review of software development cost estimation studies,2007,1,6,4.554,False,
slr,llama3.2:3b,zero-shot,1,"Cross versus Within-Company Cost Estimation Studies: A Systematic
Review",2007,1,6,4.635,False,
slr,llama3.2:3b,zero-shot,1,Systematic review of Web engineering research,2007,1,6,2.537,False,
slr,llama3.2:3b,zero-shot,2,"Hands-on, simulated and remote laboratories: a comparative literature
review",2006,0,6,3.127,False,
slr,llama3.2:3b,zero-shot,2,"A literature survey of the quality economics of defect-detection
techniques",2006,0,6,2.593,False,
slr,llama3.2:3b,zero-shot,2,Distribution Dimensions in Software Development Projects: A Taxonomy,2006,0,4,3.076,False,
slr,llama3.2:3b,zero-shot,2,The golden age of software architecture,2006,0,4,4.422,False,
slr,llama3.2:3b,zero-shot,2,In search of what we experimentally know about unit testing,2006,1,6,4.579,False,
slr,llama3.2:3b,zero-shot,2,"On the success of empirical studies in the international conference
on software engineering",2006,1,6,3.613,False,
slr,llama3.2:3b,zero-shot,2,"A Systematic Review of Cross- vs. Within-Company Cost Estimation
Studies",2006,1,6,3.916,False,
slr,llama3.2:3b,zero-shot,2,What do we know about defect detection methods?,2006,1,6,4.995,False,
slr,llama3.2:3b,zero-shot,2,"On the success of empirical studies in the international conference
on software engineering",2006,1,6,5.738,False,
slr,llama3.2:3b,zero-shot,2,"A systematic review of statistical power in software engineering
experiments",2006,1,6,5.847,False,
slr,llama3.2:3b,zero-shot,2,Are CMM program investments beneficial? Analyzing past studies,2006,1,4,5.595,False,
slr,llama3.2:3b,zero-shot,3,A survey of component based system quality assurance and assessment,2005,0,6,6.75,False,
slr,llama3.2:3b,zero-shot,3,"Impact of software engineering research on the practice of software
configuration management",2005,0,4,6.753,False,
slr,llama3.2:3b,zero-shot,3,"The impact of software engineering research on modern progamming
languages",2005,0,4,6.318,False,
slr,llama3.2:3b,zero-shot,3,Combating architectural degeneration: a survey,2005,0,4,2.611,False,
slr,llama3.2:3b,zero-shot,3,Software effort estimation terminology: the tower of Babel,2005,1,6,2.732,False,
slr,llama3.2:3b,zero-shot,3,"The consistency of empirical comparisons of regression and analogy-based
software project cost prediction",2005,1,6,2.707,False,
slr,llama3.2:3b,zero-shot,3,A survey of controlled experiments in software engineering,2005,1,6,3.495,False,
slr,llama3.2:3b,zero-shot,3,Do SQA programs work – CMM works: A meta analysis,2005,1,6,3.207,False,
slr,llama3.2:3b,few-shot-random,1,Survey of component-based software development,2007,0,6,4.727,False,
slr,llama3.2:3b,few-shot-random,1,Achieving Quality in Open Source Software,2007,0,6,2.631,False,
slr,llama3.2:3b,few-shot-random,1,Stakeholders in Global Requirements Engineering: Lessons Learned from Practice,2007,0,6,3.366,False,
slr,llama3.2:3b,few-shot-random,1,A systematic review of theory use in software engineering experiments,2007,1,6,3.501,False,
slr,llama3.2:3b,few-shot-random,1,"Estimation of software development work effort: evidence on expert
judgement and formal models",2007,1,6,3.015,False,
slr,llama3.2:3b,few-shot-random,1,A systematic review of software development cost estimation studies,2007,1,6,3.528,False,
slr,llama3.2:3b,few-shot-random,1,"Cross versus Within-Company Cost Estimation Studies: A Systematic
Review",2007,1,6,3.99,False,
slr,llama3.2:3b,few-shot-random,1,Systematic review of Web engineering research,2007,1,6,3.068,False,
slr,llama3.2:3b,few-shot-random,2,"Hands-on, simulated and remote laboratories: a comparative literature
review",2006,0,6,9.574,False,
slr,llama3.2:3b,few-shot-random,2,"A literature survey of the quality economics of defect-detection
techniques",2006,0,6,4.479,False,
slr,llama3.2:3b,few-shot-random,2,Distribution Dimensions in Software Development Projects: A Taxonomy,2006,0,6,4.903,False,
slr,llama3.2:3b,few-shot-random,2,The golden age of software architecture,2006,0,6,4.872,False,
