theme,fold,threshold,best_params
slr,1,0.5,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__coef0"": 0, ""classifier__kernel"": ""linear"", ""classifier__tol"": 0.001, ""selector__k"": 25}"
slr,2,0.5,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__coef0"": 0, ""classifier__kernel"": ""rbf"", ""classifier__tol"": 0.001, ""selector__k"": 25}"
slr,3,0.5,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__coef0"": 0, ""classifier__kernel"": ""linear"", ""classifier__tol"": 0.001, ""selector__k"": 25}"
mdwe,1,0.5,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__coef0"": 0, ""classifier__kernel"": ""rbf"", ""classifier__tol"": 1, ""selector__k"": 100}"
mdwe,2,0.5,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__coef0"": 0, ""classifier__kernel"": ""linear"", ""classifier__tol"": 0.001, ""selector__k"": 25}"
mdwe,3,0.5,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__coef0"": 0, ""classifier__kernel"": ""linear"", ""classifier__tol"": 0.001, ""selector__k"": 25}"
illiterate,1,0.11242,"{""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__coef0"": 0, ""classifier__kernel"": ""linear"", ""classifier__tol"": 1, ""selector__k"": 100}"
illiterate,2,0.023614,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__coef0"": 0, ""classifier__kernel"": ""rbf"", ""classifier__tol"": 0.001, ""selector__k"": 50}"
illiterate,3,0.064089,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__coef0"": 0, ""classifier__kernel"": ""rbf"", ""classifier__tol"": 1, ""selector__k"": 200}"
pair,1,0.058408,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__coef0"": 0, ""classifier__kernel"": ""rbf"", ""classifier__tol"": 0.001, ""selector__k"": 200}"
pair,2,0.5,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__coef0"": 0, ""classifier__kernel"": ""rbf"", ""classifier__tol"": 1, ""selector__k"": 200}"
pair,3,0.136554,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__coef0"": 0, ""classifier__kernel"": ""rbf"", ""classifier__tol"": 1, ""selector__k"": 25}"
games,1,0.108865,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__coef0"": 0, ""classifier__kernel"": ""rbf"", ""classifier__tol"": 0.1, ""selector__k"": ""all""}"
games,2,0.105598,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__coef0"": 0, ""classifier__kernel"": ""rbf"", ""classifier__tol"": 1, ""selector__k"": 100}"
games,3,0.039028,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__coef0"": 0, ""classifier__kernel"": ""rbf"", ""classifier__tol"": 0.001, ""selector__k"": 50}"
testing,1,0.054132,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__coef0"": 0, ""classifier__kernel"": ""rbf"", ""classifier__tol"": 1, ""selector__k"": 100}"
testing,2,0.110468,"{""classifier__C"": 100, ""classifier__class_weight"": ""balanced"", ""classifier__coef0"": 0, ""classifier__kernel"": ""rbf"", ""classifier__tol"": 1, ""selector__k"": 100}"
testing,3,0.032307,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__coef0"": 0, ""classifier__kernel"": ""rbf"", ""classifier__tol"": 1, ""selector__k"": 100}"
ontologies,1,0.028197,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__coef0"": 0, ""classifier__kernel"": ""rbf"", ""classifier__tol"": 0.001, ""selector__k"": 100}"
ontologies,2,0.027957,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__coef0"": 0, ""classifier__kernel"": ""rbf"", ""classifier__tol"": 1, ""selector__k"": 200}"
ontologies,3,0.030271,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__coef0"": 0, ""classifier__kernel"": ""rbf"", ""classifier__tol"": 1, ""selector__k"": 200}"
xbi,1,0.051017,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__coef0"": 0, ""classifier__kernel"": ""rbf"", ""classifier__tol"": 1, ""selector__k"": 100}"
xbi,2,0.066854,"{""classifier__C"": 100, ""classifier__class_weight"": ""balanced"", ""classifier__coef0"": 0, ""classifier__kernel"": ""rbf"", ""classifier__tol"": 0.001, ""selector__k"": 200}"
xbi,3,0.090287,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__coef0"": 0, ""classifier__kernel"": ""rbf"", ""classifier__tol"": 1, ""selector__k"": 100}"
