theme,fold,label,probability,pred_raw,pred_calibrated
slr,1,0,0.000265,0,0
slr,1,0,0.618388,1,1
slr,1,0,0.122624,0,0
slr,1,1,0.062894,0,0
slr,1,1,0.868429,1,1
slr,1,1,0.868429,1,1
slr,1,1,0.868429,1,1
slr,1,1,0.868429,1,1
slr,2,0,0.105741,0,0
slr,2,0,0.92518,1,1
slr,2,0,0.18034,0,0
slr,2,0,0.069519,0,0
slr,2,1,0.163677,0,0
slr,2,1,0.070037,0,0
slr,2,1,0.79655,1,1
slr,2,1,0.92518,1,1
slr,2,1,0.545103,1,1
slr,2,1,0.92518,1,1
slr,2,1,0.92518,1,1
slr,3,0,0.805221,1,1
slr,3,0,0.857448,1,1
slr,3,0,0.513042,1,1
slr,3,0,0.777332,1,1
slr,3,1,0.857448,1,1
slr,3,1,0.857448,1,1
slr,3,1,0.774138,1,1
slr,3,1,0.723351,1,1
mdwe,1,0,0.999988,1,1
mdwe,1,1,0.972252,1,1
mdwe,1,1,0.853073,1,1
mdwe,1,1,0.011736,0,0
mdwe,1,0,0.999992,1,1
mdwe,1,1,0.999992,1,1
mdwe,1,1,0.996518,1,1
mdwe,1,1,0.960762,1,1
mdwe,1,0,0.011736,0,0
mdwe,1,0,0.011736,0,0
mdwe,1,0,0.879123,1,1
mdwe,1,0,0.011736,0,0
mdwe,1,0,0.999992,1,1
mdwe,1,0,0.979801,1,1
mdwe,1,0,0.571274,1,1
mdwe,1,0,0.997342,1,1
mdwe,1,1,0.999986,1,1
mdwe,1,1,0.999986,1,1
mdwe,1,1,0.011736,0,0
mdwe,1,0,0.011736,0,0
mdwe,1,0,0.011736,0,0
mdwe,1,0,0.992797,1,1
mdwe,1,0,0.151289,0,0
mdwe,1,1,0.99999,1,1
mdwe,1,0,0.011736,0,0
mdwe,2,1,0.112124,0,0
mdwe,2,1,0.112124,0,0
mdwe,2,1,0.112124,0,0
mdwe,2,1,0.306273,0,0
mdwe,2,1,0.112124,0,0
mdwe,2,1,0.112124,0,0
mdwe,2,0,0.112124,0,0
mdwe,2,0,0.112124,0,0
mdwe,2,1,0.995911,1,1
mdwe,2,0,0.112124,0,0
mdwe,2,0,0.112124,0,0
mdwe,2,0,0.112124,0,0
mdwe,2,0,0.112124,0,0
mdwe,2,0,0.112124,0,0
mdwe,2,0,0.351677,0,0
mdwe,2,1,0.922098,1,1
mdwe,2,0,0.112124,0,0
